,Label,URL
0,bad,nobell.it/70ffb52d079109dca5664cce6f317373782/login.SkyPe.com/en/cgi-bin/verification/login/70ffb52d079109dca5664cce6f317373/index.php?cmd=_profile-ach&outdated_page_tmpl=p/gen/failed-to-load&nav=0.5.1&login_access=1322408526
1,bad,www.dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php
2,bad,serviciosbys.com/paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf654321874/href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/
3,bad,mail.printakid.com/www.online.americanexpress.com/index.html
4,bad,thewhiskeydregs.com/wp-content/themes/widescreen/includes/temp/promocoessmiles/?84784787824HDJNDJDSJSHD//2724782784/
5,bad,smilesvoegol.servebbs.org/voegol.php
6,bad,premierpaymentprocessing.com/includes/boleto-2via-07-2012.php
7,bad,myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php
8,bad,super1000.info/docs
9,bad,horizonsgallery.com/js/bin/ssl1/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&amp;dispatch=1471c4bdb044ae2be9e2fc3ec514b88b1471c4bdb044ae2be9e2fc3ec514b88b
10,bad,phlebolog.com.ua/libraries/joomla/results.php
11,bad,docs.google.com/spreadsheet/viewform?formkey=dE5rVEdSV2pBdkpSRy11V3o2eDdwbnc6MQ
12,bad,www.coincoele.com.br/Scripts/smiles/?pt-br/Paginas/default.aspx
13,bad,www.henkdeinumboomkwekerij.nl/language/pdf_fonts/smiles.php
14,bad,perfectsolutionofall.net/wp-content/themes/twentyten/wiresource/
15,bad,lingshc.com/old_aol.1.3/?Login=&amp;Lis=10&amp;LigertID=1993745&amp;us=1
16,bad,anonymeidentity.net/remax./remax.htm
17,bad,dutchweb.gtphost.com/zimbra/exch/owa/uleth/index.html
18,bad,www.avedeoiro.com/site/plugins/chase/
19,bad,asladconcentration.com/paplkuk1/webscrcmd=_home-customer&nav=1/
20,bad,www.regaranch.info/grafika/file/2012/atualizacao/www.itau.com.br/
21,bad,optimistic-pessimism.com/aoluserupdatealert.info.htm
22,bad,mercadolivre.com.br.premiosfidelidade2012.com.br/confirmar/
23,bad,www.everythinggoingon.net/~gpeveryt/home/Email/
24,bad,mercadolivre.com.br.premiosfidelidade2012.com.br/
25,bad,www.revitolcream.org/wp-content/plugins/all-in-one-seo-pack/rex/secure-code17/security/
26,bad,jameshowardmusic.com/wp-content/themes/widescreen/includes/cache/bbnew/bb.php
27,bad,xini.eu/00Qe
28,bad,myxxxcollection.com/v1/js/555klisdr/bpd.com.do/do/l.popular.php
29,bad,paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c03faee8dcbcd55a50598f04d34b4bf5tt1.mediareso.com/secure-code90/security/
30,bad,ebayisapidlld.altervista.org/
31,bad,horizonsgallery.com/js/bin/ssl/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&dispatch=7adb89899b4614aec6715340ae31adce7adb89899b4614aec6715340ae31adce
32,bad,www.revitolcream.org/wp-content/plugins/all-in-one-seo-pack/rex/secure-code5/security/login.php
